"126","WASHER FLAT STEEL BRIGHT (STD)  ZINC   MM 12X24X1.6","8349",500,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"127","WASHER SPRING COIL TRIV-480  MM 12X4X2.5","801",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"128","25mm Flat Head Screw ( Temp E&N Screw)","___",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"129","10G X 1 IN PAN XR SELF TAPPING","ST101PXZ",2000,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"130","RIVET BLIND ALUM DOME (ASP-5-2)","18289",1000,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"131","RIVET BLIND ALUM DOME (ASP-5-4)","RAS54",2000,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"132","RIVET ALUMINIUM STEEL STEM 6-8","RAS68",3000,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"133","6 - 12 Rivet","RAS612",300,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"134","M8 x 25 Stailess Steel Bolts","SSM825S",400,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"135","M5 x 10 Screw","060607C42",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"136","SCREW M5 X 12 PAN HD PHILIPS","060607C43",600,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"137","SCREW STEEL PAN-HD POZI 5X20MM","28388",800,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"138","M5 x 20  Screw","SSM520Z8",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"139","M5 X 20 PAN PHIL METAL THREAD","MTM520CXZ",800,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"140","SCREW M5 X 25 PAN HD PHILLIPS","060607C46",1000,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"141","SCREW M5 X 30 PAN HEAD","060607P47",1000,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"142","5mm Brass Spring Washer","_________",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"143","5mm Brass Flat Washer","WFM5BR",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"144","5MM BRASS NUT","NM5BR",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
"145","M6 X 12 HEX SET SCREW CL 8.8 ZINC SILVER","41522",0,"2023-06-05 01:48:19","Kanban Stock",0,0,2
