"84","Narrow Palm Lug 185-10mm","CTLNP185-10",20,80,40,40,4.45,1,4.45,12,100,112,498.4,"2023-06-28 04:33:06","Kanban Stock",2
"86","Narrow Palm Lug 240-10mm","CTLNP240-10",10,50,30,20,6.97,1,6.97,7,70,77,536.69,"2023-06-28 04:33:06","Kanban Stock",2
"75","Narrow Palm Lug 70-10mm","CTLNP70-10",100,100,0,100,2.24,1,2.24,60,0,60,134.4,"2023-06-28 04:33:06","Kanban Stock",2
"71","Narrow Palm Lug 70-6mm","CTLNP70-6",50,50,0,50,1.71,1,1.71,29,0,29,49.59,"2023-06-28 04:33:06","Kanban Stock",2
"79","95 x 10mm NARROW PALM LUG","CTLNP95-10",50,50,0,50,2.46,1,2.46,56,0,56,137.76,"2023-06-28 04:33:06","Kanban Stock",2
"77","NARROW PALM LUG 95-8mm","CTLNP95-8",60,180,60,120,2.56,1,2.56,33,250,283,724.48,"2023-06-28 04:33:06","Kanban Stock",2
"105","105-empty","Empty105",0,0,0,0,0,0,\N,0,0,0,\N,"2023-06-28 04:33:06","Kanban Stock",2
"184","EMPTY184","EMPTY184",0,0,0,0,0,0,\N,0,0,0,\N,"2023-06-28 04:33:06","Kanban Stock",2
"185","EMPTY185","EMPTY185",0,0,0,0,0,0,\N,0,0,0,\N,"2023-06-28 04:33:06","Kanban Stock",2
"186","EMPTY186","EMPTY186",0,0,0,0,0,0,\N,0,0,0,\N,"2023-06-28 04:33:06","Kanban Stock",2
"187","EMPTY187","EMPTY187",0,0,0,0,0,0,\N,0,0,0,\N,"2023-06-28 04:33:06","Kanban Stock",2
"188","EMPTY188","EMPTY188",0,0,0,0,0,0,\N,0,0,0,\N,"2023-06-28 04:33:06","Kanban Stock",2
"189","EMPTY189","EMPTY189",0,0,0,0,0,0,\N,0,0,0,\N,"2023-06-28 04:33:06","Kanban Stock",2
"190","EMPTY190","EMPTY190",0,0,0,0,0,0,\N,0,0,0,\N,"2023-06-28 04:33:06","Kanban Stock",2
"30","BLADE RED 10mm COPPER SLEEVE","FB1-10CS",200,600,200,400,6.43,100,0.0643,1391,3500,4891,314.491,"2023-06-28 04:33:06","Kanban Stock",2
"38","BLADE BLUE 13MM COPPER SLEEVE","FB2-13CS",100,300,100,200,8.08,100,0.0808,1102,500,1602,129.442,"2023-06-28 04:33:06","Kanban Stock",2
"45","Blade Yellow 10mm Copper Sleeve","FB5-10CS",100,100,0,100,9.3,100,0.093,51,0,51,4.743,"2023-06-28 04:33:06","Kanban Stock",2
"44","Blade Yellow 18mm Copper Sleeve","FB5-18CS",100,100,0,100,12.24,100,0.1224,500,0,500,61.2,"2023-06-28 04:33:06","Kanban Stock",2
"170","M10 X 25 GRUB SCREW","GSM1025P",100,100,0,100,0.3091,100,0.003091,407,0,407,1.25804,"2023-06-28 04:33:06","Kanban Stock",2
"168","M6 X 25 GRUB SCREW","GSM625P",200,200,0,200,0.1545,100,0.001545,312,80,392,0.60564,"2023-06-28 04:33:06","Kanban Stock",2
"169","M8 X 25 GRUB SCREW","GSM825P",200,200,0,200,0.2091,100,0.002091,392,500,892,1.86517,"2023-06-28 04:33:06","Kanban Stock",2
"182","M5x65 PAN SCREW","LLLLLL",50,50,0,50,0,0,\N,0,0,0,\N,"2023-06-28 04:33:06","Kanban Stock",2
